Station_Names,YEAR,Month,Temprature,Rainfall
Chittagong (IAP-Patenga),1951,6,33.5,458
Chittagong (IAP-Patenga),1951,7,35,670
Chittagong (IAP-Patenga),1951,8,33.4,747
Chittagong (IAP-Patenga),1951,9,33.4,295
Chittagong (IAP-Patenga),1951,10,33.1,488
Chittagong (IAP-Patenga),1951,11,31.7,0
Chittagong (IAP-Patenga),1951,12,31.7,7
Comilla,1951,1,27.2,0
Comilla,1951,2,31.7,0
Comilla,1951,3,35.2,23
Comilla,1951,4,36.7,212
Comilla,1951,5,33.4,200
Comilla,1951,6,32.8,539
Comilla,1951,7,32.3,857
Comilla,1951,8,33.3,596
Comilla,1951,9,32.7,401
Comilla,1951,10,32.2,427
Comilla,1951,11,30.5,55
Comilla,1951,12,27.9,0
Cox's Bazar,1951,1,30,0
Cox's Bazar,1951,2,30,0
Cox's Bazar,1951,3,36.9,46
Cox's Bazar,1951,4,34.4,165
Cox's Bazar,1951,5,34.4,72
Cox's Bazar,1951,6,34.4,691
Cox's Bazar,1951,7,34.1,661
Cox's Bazar,1951,8,33.3,765
Cox's Bazar,1951,9,33.3,799
Cox's Bazar,1951,10,33.9,606
Cox's Bazar,1951,11,32.8,7
Cox's Bazar,1951,12,31.7,24
Dinajpur,1951,1,30.9,0
Dinajpur,1951,2,33.3,0
Dinajpur,1951,3,36.7,0
Dinajpur,1951,4,37.6,0
Dinajpur,1951,5,37.2,0
Dinajpur,1951,6,35.4,384
Dinajpur,1951,7,35.6,373
Dinajpur,1951,8,35.3,480
Dinajpur,1951,9,36.1,150
Dinajpur,1951,10,34.4,85
Dinajpur,1951,11,31.7,7
Dinajpur,1951,12,29.8,0
Faridpur,1951,1,25,0
Faridpur,1951,2,31.1,0
Faridpur,1951,3,35.6,45
Faridpur,1951,4,36.2,43
Faridpur,1951,5,35.6,100
Faridpur,1951,6,33.3,291
Faridpur,1951,7,33.1,389
Faridpur,1951,8,31.7,240
Faridpur,1951,9,32.8,201
Faridpur,1951,10,32.9,180
Faridpur,1951,11,29.2,38
Faridpur,1951,12,27.3,0
Jessore,1951,1,28.2,0
Jessore,1951,2,33.5,0
Jessore,1951,3,35.7,34
Jessore,1951,4,37.6,19
Jessore,1951,5,37.6,170
Jessore,1951,6,37.7,113
Jessore,1951,7,35.1,279
Jessore,1951,8,35.6,244
Jessore,1951,9,36.9,147
Jessore,1951,10,37,224
Jessore,1951,11,32.2,0
Jessore,1951,12,30.8,0
Khulna,1951,1,29,0
Khulna,1951,2,33.4,0
Khulna,1951,3,37.1,35
Khulna,1951,4,37.7,62
Khulna,1951,5,37.7,110
Khulna,1951,6,36.2,193
Khulna,1951,7,33.9,475
Khulna,1951,8,33.6,224
Khulna,1951,9,35.1,153
Khulna,1951,10,36.1,124
Khulna,1951,11,31.1,20
Khulna,1951,12,30.6,0
Maijdee Court,1951,1,26.4,5
Maijdee Court,1951,2,29.5,8
Maijdee Court,1951,3,32.2,46
Maijdee Court,1951,4,32.8,106
Maijdee Court,1951,5,32.8,310
Maijdee Court,1951,6,32,586
Maijdee Court,1951,7,30.6,712
Maijdee Court,1951,8,31.6,233
Maijdee Court,1951,9,33.5,120
Maijdee Court,1951,10,33.1,187
Maijdee Court,1951,11,30.2,41
Maijdee Court,1951,12,32.4,0
Mymensingh,1951,1,27.7,0
Mymensingh,1951,2,31.6,0
Mymensingh,1951,3,37.1,12
Mymensingh,1951,4,37.7,25
Mymensingh,1951,5,37.7,140
Mymensingh,1951,6,36,401
Mymensingh,1951,7,36.9,275
Mymensingh,1951,8,34.3,167
Mymensingh,1951,9,34.3,146
Mymensingh,1951,10,31.6,360
Mymensingh,1951,11,29.3,77
Mymensingh,1951,12,31,0
Satkhira,1951,1,29.4,0
Satkhira,1951,2,34.1,0
Satkhira,1951,3,37.3,40
Satkhira,1951,4,37.7,0
Satkhira,1951,5,37.7,146
Satkhira,1951,6,36.2,108
Satkhira,1951,7,34.5,316
Satkhira,1951,8,34,234
Satkhira,1951,9,34.9,243
Satkhira,1951,10,34.9,133
Satkhira,1951,11,31.2,21
Satkhira,1951,12,30.3,0
Srimangal,1951,1,26.7,1
Srimangal,1951,2,32.8,0
Srimangal,1951,3,36.1,45
Srimangal,1951,4,36.8,227
Srimangal,1951,5,35.6,427
Srimangal,1951,6,34.5,429
Srimangal,1951,7,35.7,490
Srimangal,1951,8,35.2,432
Srimangal,1951,9,34.4,279
Srimangal,1951,10,33.4,397
Srimangal,1951,11,31.2,34
Srimangal,1951,12,30.6,0
Barisal,1952,1,26.6,2
Barisal,1952,2,30.6,8
Barisal,1952,3,33.3,33
Barisal,1952,4,34,85
Barisal,1952,5,33.6,196
Barisal,1952,6,32.9,406
Barisal,1952,7,31.2,414
Barisal,1952,8,31.4,349
Barisal,1952,9,32.5,275
Barisal,1952,10,32,171
Barisal,1952,11,30.7,35
Barisal,1952,12,27.8,4
Bogra,1952,1,33.2,0
Bogra,1952,2,34.3,0
Bogra,1952,3,36.9,13
Bogra,1952,4,41.5,192
Bogra,1952,5,35.4,114
Bogra,1952,6,37.1,393
Bogra,1952,7,35.8,336
Bogra,1952,8,33.4,203
Bogra,1952,9,35.4,376
Bogra,1952,10,33.5,234
Bogra,1952,11,32.4,66
Bogra,1952,12,27.5,0
Chittagong (IAP-Patenga),1952,1,28.1,0
Chittagong (IAP-Patenga),1952,2,32.8,0
Chittagong (IAP-Patenga),1952,3,35.4,73
Chittagong (IAP-Patenga),1952,4,34.9,236
Chittagong (IAP-Patenga),1952,5,34.7,204
Chittagong (IAP-Patenga),1952,6,33.6,687
Chittagong (IAP-Patenga),1952,7,33.7,491
Chittagong (IAP-Patenga),1952,8,32.8,401
Chittagong (IAP-Patenga),1952,9,33.1,146
Chittagong (IAP-Patenga),1952,10,33.9,307
Chittagong (IAP-Patenga),1952,11,33.3,152
Chittagong (IAP-Patenga),1952,12,28.1,0
Comilla,1952,1,27.6,10
Comilla,1952,2,33.8,0
Comilla,1952,3,32.3,18
Comilla,1952,4,37.5,471
Comilla,1952,5,33.4,541
Comilla,1952,6,34.4,899
Comilla,1952,7,32.7,644
Comilla,1952,8,34.4,419
Comilla,1952,9,31.8,570
Comilla,1952,10,33.1,422
Comilla,1952,11,32.2,133
Comilla,1952,12,26.7,0
Cox's Bazar,1952,1,30,0
Cox's Bazar,1952,2,33.9,1
Cox's Bazar,1952,3,35.6,37
Cox's Bazar,1952,4,35,206
Cox's Bazar,1952,5,34.4,258
Cox's Bazar,1952,6,32.8,809
Cox's Bazar,1952,7,32.3,1266
Cox's Bazar,1952,8,31.7,439
Cox's Bazar,1952,9,32.1,617
Cox's Bazar,1952,10,34.2,505
